class,preg_replace,str_replace,error_reporting,define,md5,empty,isset,ini_get,function_exists,substr,php_uname,gethostbyname,phpversion,getcwd,explode,fopen,fclose,alert,system,rmdir,basename,htmlspecialchars,date,fileperms,preg_match,shell_exec,exec,file_get_contents,mkdir,fwrite,dechex,urlencode,base64_encode,urldecode,base64_decode,filesize,readfile,fgets,strpos,sizeof,opendir,readdir,eval,phpinfo,unset,dirname,strtoupper,setcookie,time,getelementbyid,exit,chr,open,write,array_merge,stripslashes,fread,strlen,in_array,intval,getenv,passthru,join,strtolower,ob_start,unlink,mysql_connect,realpath,file,implode,nl2br,posix_getpwuid,posix_getgrgid,closedir,mysql_query,mysql_fetch_row,mysql_num_fields,mysql_select_db,mysql_num_rows,addslashes,mysql_error,mysql_fetch_array,sprintf,list,echo,print,printf,array_unique,rs,chdir,submit,replace,microtime,is_array,mysql_free_result,mysql_fetch_assoc,array_keys,array_values,array_map,is_wp_error,apply_filters,esc_url,esc_attr,esc_html,do_action
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,2,0,1,0,1,9,3,5,2,2,0,1,2,3,6,2,0,1,1,0,8,5,2,0,1,2,0,1,1,0,0,0,0,0,2,1,5,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,1,1,1,1,0,1,2,0,2,0,0,0,0,0,6,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,3,0,1,4,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,3,0,2,0,1,4,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,1,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0,2,0,1,20,3,1,0,7,1,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,1,15,1,5,0,0,4,0,1,5,0,1,0,1,4,0,4,0,0,0,5,5,0,0,0,0,0,0,0,5,1,1,1,0,3,4,0,2,0,2,2,2,2,1,5,1,0,1,1,1,0,0,0,0,0,1,0,10,0,1,0,0,1,0,1,0,0,0,4,4,0,0,0,2,0,0,1,1,1,4,8,10,0,0,1,0,0,0,0,3,12,0,2,1,1,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,77,2,1,0,1,18,4,5,47,3,0,4,4,38,23,29,0,4,2,8,165,16,3,0,1,0,3,1,16,1,79,7,2,4,3,1,12,4,2,9,16,4,2,9,3,5,2,7,4,0,34,0,0,5,1,7,12,1,3,21,2,16,9,0,4,1,8,3,3,3,7,5,7,22,3,3,2,0,9,2,11,3,3,1,3,0,4,0,1,0,0,1,0,10,3,3,3,0,0,0,0,0,0,0
