class,error_reporting,stripslashes,exit,htmlspecialchars,sizeof,explode,phpinfo,getenv,php_uname,str_replace,join,sprintf,list,echo,empty,base64_decode,fclose,print,date,printf,addslashes,is_dir,reset,each,urlencode,phpversion,intval,exec,substr,strpos,mkdir,realpath,fopen,rmdir,readdir,unlink,fwrite,chdir,isset,unset,urldecode,system,basename,closedir,strtolower,opendir,copy,array_merge,setcookie,file_get_contents,getcwd,strlen,rand,fileperms,shell_exec,function_exists,fread,fgets,pclose,ob_start,passthru,mysql_error,mysql_query,time,base64_encode,eval,filesize,define,dirname,md5,ini_get,getelementbyid,mysql_select_db,mysql_fetch_row,ceil,implode,preg_replace,pack,ord,mysql_fetch_array,array_keys,array_map,array_values,chr,is_array,file,is_numeric,gethostbyname,strip_tags,function,submit,posix_getpwuid,posix_getgrgid,readfile,mysql_num_fields,focus,microtime,strtotime,dechex,serialize,strtoupper,call_user_func,gmdate,in_array,preg_match,array_unique,array_filter,array_key_exists,is_string,is_null,get_post,defined,wp_error,add_filter,do_action,get_option,apply_filters,is_wp_error,esc_url,admin_url,current_user_can,add_query_arg,wp_parse_args,esc_html,esc_attr,is_multisite,wp_die
malware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3028255465259551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1529614352987954,0.0,0.0,0.0,0.0,1.0524356639864327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malware,0.0,0.05109393086938413,0.0,0.07637330100550786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058690725151017344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07939090176837879,0.0,0.0,0.0,0.0,0.09475836101687665,0.12256791068752533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13453592817219132,0.0,0.0,0.061383556728234145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039442854492133285,0.3693740552819595,0.5717776947318131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25856183869737165,0.11081221658458784,0.0,0.0,0.0,0.0,0.0,0.1698179813722769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19123093480246064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25914358259648207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43260792360850725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31275091538386324,0.0,0.0,0.0,0.0,0.3488353086182219,0.23427101713125842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3488353086182219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2152092322519652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8199485599594045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125291808849094,0.0,0.0,0.03787713852840404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2907156613693062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043892276615709346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04855722751388122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05218070090057753,0.07095439286235358,0.2322787800311565,0.2796881414808826,0.3619261384312736,0.1822245339391,0.08816918006469406,0.0,0.0,0.0,0.0
benign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018516480177159667,0.0,0.20091161628315604,0.021715568305876416,0.0,0.08522356168890909,0.0,0.0,0.0,0.0,0.11822302483560665,0.0,0.0,0.0,0.0,0.08721469841079187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07316325686505946,0.019751524477069203,0.024304184645039306,0.0,0.0,0.0,0.0,0.0,0.0,0.026230499696514118,0.0,0.0,0.0,0.007570638663148878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010643158929353039,0.0,0.0,0.0,0.0,0.0,0.009902507969124662,0.0,0.0,0.0,0.0,0.0,0.014567168254164365,0.0,0.0,0.0,0.0,0.0102786250753126,0.0,0.0,0.0,0.0,0.013441237869030152,0.0,0.0,0.014593856162089315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012209235801637765,0.0,0.0,0.10322216838848293,0.0,0.0,0.026450754019408218,0.0,0.012325520112459104,0.013368243871924389,0.0,0.01315544579983041,0.0,0.0,0.03283884611530564,0.011769391936907982,0.07827105135086632,0.0,0.06968363400934695,0.01398440707404413,0.23887125136464057,0.0410005201362975,0.013225377009704109,0.012152092322519653,0.2893311267415293,0.1313447054588038,0.0
malware,0.011550136700020487,0.04555362511246296,0.015684880637216674,0.10213778809170329,0.0,0.008497512371620091,0.0,0.0,0.0,0.0,0.0,0.0,0.01308166765414242,0.031208038137901527,0.0,0.01308166765414242,0.019945564469102495,0.0,0.08251020960353733,0.0,0.10811836746927211,0.0,0.0,0.017695562442349492,0.17075166857534552,0.032039277553406964,0.03389651465975948,0.0,0.05069001480902799,0.0,0.0,0.015215232797037685,0.024037354135495,0.0,0.0,0.013519977017289578,0.0,0.0,0.011753133632941282,0.16657912209576436,0.0,0.0,0.48245176822282615,0.0,0.047548948092805916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08736211125752007,0.0,0.0,0.0,0.013029055124210164,0.0,0.0,0.0,0.0,0.016466072343894578,0.014993461874611681,0.0,0.0,0.0,0.0,0.013931538727997272,0.0,0.0,0.015291008593464554,0.0,0.0,0.016466072343894578,0.0,0.07020322050199694,0.012244325034825216,0.0,0.0,0.01514039833921505,0.04953554253162699,0.0,0.05883969061030249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01704950503058083,0.0,0.01675072827672919,0.0,0.0,0.0,0.0,0.0,0.017472422251504013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26788215504420804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4728920993424266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2913433650832873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31308420540346527,0.0,0.0,0.0,0.0,0.0,0.5290150803881644,0.0,0.0,0.0,0.0
benign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06158210460786392,0.0,0.0,0.06530541125586904,0.0,0.0,0.0,0.0,0.3804878960226421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07848931770964235,0.0,0.0,0.0,0.0,0.0,0.02268139477990167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04672547024783875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019583317148337262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07909744704098308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1377526306014533,0.03141802309294828,0.32713026781530524,0.0,0.14394676110504148,0.14680219212900741,0.13349355174204397,0.0,0.024960423340087835,0.0,0.0,0.05587168883917081,0.17907319957477497,0.03354909462549267,0.0
