no,class,entropy
0,malware,5.337659292268192
1,malware,5.216659760179532
2,malware,4.8149727675300324
3,malware,4.498871107126153
4,malware,6.031784448594939
5,malware,6.055938727883076
6,malware,4.458591205867174
7,malware,5.7493101579538
8,malware,5.751128521756193
9,malware,5.818757348292492
10,malware,4.452994412405946
11,malware,4.552763214145851
12,malware,5.2241127558280445
13,malware,4.640006965714302
14,malware,6.059272446237819
15,malware,4.989965215089391
16,malware,4.797459312258532
17,malware,4.856733397794133
18,malware,5.276660114889776
19,malware,4.885593703816683
20,malware,3.4370363617048385
21,malware,5.5589434127945285
22,malware,6.143187529292643
23,malware,5.670892269197658
24,malware,5.348658178109018
25,malware,5.724652045081539
26,malware,5.768337554190745
27,malware,5.0305992443996
28,malware,5.553882144245182
29,malware,5.905012404061001
30,malware,3.5165304721945536
31,malware,5.855360080958527
32,malware,4.278144345784327
33,malware,4.521640636343317
34,malware,5.381989421606724
35,malware,5.6329177615519965
36,malware,5.255508289053943
37,malware,5.305675044859544
38,malware,5.632843393485942
39,malware,5.732985396475887
40,malware,4.362965577516259
41,malware,5.512748806909038
42,malware,6.060434585039451
43,malware,5.446805752347208
44,malware,6.010504467425957
45,malware,5.335012437803578
46,malware,4.619209050115871
47,malware,4.9302060568713095
48,malware,5.65468867198035
49,malware,7.251161050892534
50,malware,4.994223682340371
51,malware,5.3849089771145415
52,malware,5.825771669367443
53,malware,5.0162929056865675
54,malware,4.9475163097711
55,malware,4.655182354288393
56,malware,5.608934520290808
57,malware,5.6307469295938954
58,malware,5.297157326287944
59,malware,6.0391622428615666
60,malware,4.4906997216033036
61,malware,5.640221209559852
62,malware,5.965058288205327
63,malware,5.214911677819829
64,malware,5.125457716942934
65,malware,5.968594943804801
66,malware,5.31486831905615
67,malware,5.62013513037759
68,malware,3.5181442817623645
69,malware,5.354389790190278
70,malware,5.180877652068845
71,malware,5.753236073945488
72,malware,5.268258256960539
73,malware,5.2406308544036175
74,malware,5.380075406533836
75,malware,5.225339181488643
76,malware,5.981780204044165
77,malware,3.3655719556683072
78,malware,5.7051480110452655
79,malware,5.8498775334464215
80,malware,5.537831756273813
81,malware,5.740021724963875
82,malware,5.925361517980532
83,malware,5.7667405902263065
84,malware,5.415296208711855
85,malware,5.41426726825043
86,malware,5.9104527191259635
87,malware,4.779706904989288
88,malware,5.726352583437715
89,malware,4.912271868220775
90,malware,5.28248414099155
91,malware,4.461281742045079
92,malware,4.72381788884489
93,malware,4.898680051434239
94,malware,5.2303382259970075
95,malware,3.754830651458906
96,malware,5.1167422806278795
97,malware,4.423363197172595
98,malware,5.781062544284693
99,malware,5.805862178646499
100,malware,5.665753696869626
101,malware,5.698480519747251
102,malware,5.648317736921186
103,malware,5.438395616168186
104,malware,5.300649588051051
105,malware,2.748912405953777
106,malware,6.146128026060437
107,malware,5.474916562211925
108,malware,5.94926301844652
109,malware,5.438585695476645
110,malware,5.25244420053896
111,malware,5.572372702856756
112,malware,5.363299420011508
113,malware,5.280463649538552
114,malware,5.9810580729059275
115,malware,5.975457706100725
116,malware,4.541467880199449
117,malware,5.229004646627679
118,malware,6.024952902533109
119,malware,5.733457183167613
120,malware,5.338040834809268
121,malware,5.702747129878934
122,malware,4.5169610059131795
123,malware,5.6726131463473175
124,malware,4.698033456026445
125,malware,5.50608099910147
126,malware,5.660233855562776
127,malware,5.593769595214016
128,malware,5.361069804738956
129,malware,6.046463768991463
130,malware,6.0133044617097156
131,malware,5.687960759974972
132,malware,5.1525142469044924
133,malware,6.018922947111801
134,malware,6.034512371521047
135,malware,5.268176614470498
136,malware,4.341019230993667
137,malware,5.193510987783073
138,malware,5.514524500291449
139,malware,6.009107963640707
140,malware,5.939676098006216
141,malware,5.819250545399647
142,malware,6.022938539477014
143,malware,4.707809283145237
144,malware,5.5312287450083035
145,malware,4.593400348604437
146,malware,5.699381414922237
147,malware,3.881318341181638
148,malware,5.024976512640759
149,malware,4.958385609882539
150,malware,5.062957149982593
151,malware,5.648514090625439
152,malware,5.207742569688122
153,malware,5.015005904658575
154,malware,4.538909765557392
155,malware,4.870712508083724
156,malware,6.001442127739907
157,malware,5.001738744918603
158,malware,5.298887894705471
159,malware,5.727978369421228
160,malware,5.476187535796185
161,malware,3.3592268065334774
162,malware,6.009318131687812
163,malware,5.660684131638574
164,malware,5.49579362346176
165,malware,4.736761353228003
166,malware,5.928024661867745
167,malware,4.7552912853068685
168,malware,5.180846039172365
169,malware,5.237102957170788
170,malware,5.88547612389752
171,malware,6.067784618527674
172,malware,5.70659764758561
173,malware,5.7596586095950695
174,malware,6.271835298513054
175,malware,6.026624770348901
176,malware,6.029508145658095
177,malware,5.2787622078530125
178,malware,6.003837726111373
179,malware,6.108529484697222
180,malware,5.837764635827894
181,malware,5.056916478475925
182,malware,5.573594692462746
183,malware,6.021485656010449
184,malware,5.7280971520933885
185,malware,5.461424605496941
186,malware,6.0642328403624015
187,malware,5.971954356103216
188,malware,5.074082707826312
189,malware,5.440652709540516
190,malware,5.618028255265331
191,malware,5.760101194762365
192,malware,4.5155410348534994
193,malware,5.821751431933101
194,malware,5.6188918073310115
195,malware,5.680715176709399
196,malware,4.439963907959167
197,malware,5.853083046310263
198,malware,5.3055995348803835
199,malware,5.099591151832171
200,malware,4.944566920003313
201,malware,5.820924675428845
202,malware,5.670463353722111
203,malware,5.017944774645296
204,malware,6.09859495334253
205,malware,4.6345469156289525
206,malware,5.386324727342485
207,malware,5.747521396771906
208,malware,5.569969901850012
209,malware,5.208890449079771
210,malware,5.82179341309634
211,malware,6.728288405904506
212,malware,5.505147499299959
213,malware,4.60391282575767
214,malware,5.797587337674594
215,malware,5.9445279921540894
216,malware,4.825553479199119
217,malware,6.107518702507167
218,malware,4.987134956554678
219,malware,4.713751121285721
220,malware,6.052881509194259
221,malware,5.4580771554637995
222,malware,4.940841476591661
223,malware,4.83819056841689
224,malware,6.007555789307478
225,malware,5.427863856438799
226,malware,5.766834310849175
227,malware,4.540338589772699
228,malware,6.0250487279514005
229,malware,5.931535119531294
230,malware,4.7980189574868914
231,malware,5.202364003702977
232,malware,5.076001429795226
233,malware,6.165862657593887
234,malware,5.337424748685615
235,malware,5.5655849938280015
236,malware,4.39231742277876
237,malware,5.945847274700861
238,malware,5.302607665646252
239,malware,5.524452433193432
240,malware,4.922240451468646
241,malware,5.515263743064437
242,malware,6.027185473497331
243,malware,4.851982429387899
244,malware,5.243675326297278
245,malware,5.990514889458801
246,malware,5.758228225821771
247,malware,5.3898087017528855
248,malware,5.770423637342811
249,malware,5.918747539585608
250,malware,4.323261643838581
251,malware,5.535765116181164
252,malware,4.94092827845788
253,malware,4.657816893955588
254,malware,5.65698335685933
255,malware,4.557854445516393
256,malware,5.684903245029587
257,malware,5.317129149460816
258,malware,4.684047011189089
259,malware,4.918030854861649
260,malware,5.3745647591626575
261,malware,4.968733400613782
262,malware,5.707633677687247
263,malware,4.321928094887362
264,malware,6.033402175611227
265,malware,6.526476796548478
266,malware,4.711523437919355
267,malware,5.444515004429488
268,malware,5.660413051868336
269,malware,5.468037037640688
270,malware,5.876252882089355
271,malware,3.921535193686713
272,malware,5.241368348264243
273,malware,5.506861013384111
274,malware,5.81342349426755
275,malware,6.067733110573154
276,malware,3.5070412022018504
277,malware,6.117625447100829
278,malware,4.350149099771904
279,malware,5.633321292773158
280,malware,5.185524218703517
281,malware,6.040093096562309
282,malware,5.618385619012197
283,malware,4.6875
284,malware,6.082283953314122
285,malware,5.369475403172597
286,malware,5.312594692046743
287,malware,5.859624938443139
288,malware,4.774606727577462
289,malware,6.112581342884891
290,malware,5.090088074130886
291,malware,6.03668841752492
292,malware,5.847452117941447
293,malware,5.74496469037777
294,malware,4.8389907255622795
295,malware,5.51073112687898
296,malware,5.77510307115909
297,malware,6.06120901354359
298,malware,4.588900405207241
299,malware,5.169619856755921
300,malware,5.307452008438507
301,malware,5.04536925934668
302,malware,4.635211495163388
303,malware,5.431212844400522
304,malware,5.756531836199105
305,malware,6.017460655288886
306,malware,5.799942389487113
307,malware,5.44631722770422
308,malware,5.611885813827491
309,malware,5.214345243365766
310,malware,5.716958707974962
311,malware,5.498714501754712
312,malware,5.180191104732941
313,malware,5.750690400845982
314,malware,5.726431573899958
315,malware,3.7954001645095334
316,malware,5.0996142802960955
317,malware,6.145567640417814
318,malware,6.01003716795152
